"CACNA1F","http://www.retina-international.org/sci-news/cacnamut.htm","unknown","unknown"
"CAPN3","http://www.dmd.nl","unknown","Unknown"
"CASP10","http://bioinf.uta.fi/CASP10base/","MUTbase","MUTbase"
"CASP8","http://bioinf.uta.fi/CASP8base/","MUTbase","MUTbase"
"CASR","http://www.casrdb.mcgill.ca","unknown","unknown"
"CAV3","http://www.dmd.nl","unknown","Unknown"
"CBS","http://www.uchsc.edu/cbs/","unknown","unknown"
"CD19","http://bioinf.uta.fi/CD19base/","MUTbase","MUTbase"
"CD247","http://bioinf.uta.fi/CD247base/","MUTbase","MUTbase"
"CD3D","http://bioinf.uta.fi/CD3Dbase/","MUTbase","MUTbase"
"CD3E","http://bioinf.uta.fi/CD3Ebase/","MUTbase","MUTbase"
"CD3G","http://bioinf.uta.fi/CD3Gbase/","MUTbase","MUTbase"
"CD40","http://bioinf.uta.fi/CD40base/","MUTbase","MUTbase"
"CD40LG","http://bioinf.uta.fi/CD40Lbase/","MUTbase","MUTbase"
"CD55","http://www.ncbi.nlm.nih.gov/gv/mhc/xslcgi.cgi?cmd=bgmut/home","unknown","unknown"
"CD55","http://bioinf.uta.fi/CD55base/","MUTbase","MUTbase"
"CD59","http://bioinf.uta.fi/CD59base/","MUTbase","MUTbase"
"CD79A","http://bioinf.uta.fi/CD79Abase/","MUTbase","MUTbase"
"CD8A","http://bioinf.uta.fi/CD8Abase/","MUTbase","MUTbase"
"CDH23","http://webh01.ua.ac.be/hhh/","unknown","Unknown"
"CDH23","http://www.retina-international.org/sci-news/cdh23mut.htm","unknown","unknown"
"CDH23","http://www.umd.be/CDH23/","UMD","UMD"
"CDH23","http://hereditaryhearingloss.org/","unknown","unknown"
"CDH3","http://www.retina-international.org/sci-news/cdh3mut.htm","unknown","unknown"
"CDKN2A","http://biodesktop.uvm.edu/perl/p16","unknown","unknown"
"CEBPE","http://bioinf.uta.fi/CEBPEbase/","MUTbase","MUTbase"
"CFD","http://bioinf.uta.fi/CFDbase/index.php","MUTbase","MUTbase"
"CFH","http://bioinf.uta.fi/CFHbase/","MUTbase","MUTbase"
"CFI","http://bioinf.uta.fi/CFIbase/","MUTbase","MUTbase"
"CFP","http://bioinf.uta.fi/CFPbase/","MUTbase","MUTbase"
"CFP","http://bioinf.uta.fi/PFCbase/","MUTbase","MUTbase"
"CFTR","http://www.genet.sickkids.on.ca/cftr/","unknown","unknown"
"CHM","http://www.retina-international.org/sci-news/repmut.htm","unknown","unknown"
"CIITA","http://bioinf.uta.fi/CIITAbase/","MUTbase","MUTbase"
"CILD2","http://www.bh4.org/","unknown","unknown"
"CLCN6","http://www.ucl.ac.uk/ncl/clcn6.shtml","unknown","unknown"
"CLCN7","http://bioinf.uta.fi/CLCN7base/","MUTbase","MUTbase"
"CLDN14","http://hereditaryhearingloss.org/","unknown","unknown"
"CLDN14","http://webh01.ua.ac.be/hhh/","unknown","Unknown"
"CLN1","http://www.ucl.ac.uk/ncl/cln1.shtml","unknown","unknown"
"CLN2","http://www.ucl.ac.uk/ncl/cln2.shtml","unknown","unknown"
"CLN3","http://www.retina-international.org/sci-news/cln3mut.htm","unknown","unknown"
"CLN3","http://www.ucl.ac.uk/ncl/","unknown","unknown"
"CLN4","http://www.ucl.ac.uk/ncl/","unknown","unknown"
"CLN5","http://www.ucl.ac.uk/ncl/","unknown","unknown"
"CLN6","http://www.ucl.ac.uk/ncl/","unknown","unknown"
"CLN8","http://www.ucl.ac.uk/ncl/","unknown","unknown"
"CLRN1","http://www.retina-international.org/sci-news/ush3mut.htm","unknown","unknown"
"CLRN1","http://www.umd.be/USH3A/","UMD","UMD"
"CNGA1","http://www.retina-international.org/sci-news/cnga1mut.htm","unknown","unknown"
"CNGA3","http://www.retina-international.org/sci-news/cnga3mut.htm","unknown","unknown"
"COCH","http://hereditaryhearingloss.org/","unknown","unknown"
"COCH","http://webh01.ua.ac.be/hhh/","unknown","Unknown"
"COL11A1","http://hearing.harvard.edu/genepages/col11a1dream.htm","unknown","unknown"
"COL11A2","http://hearing.harvard.edu/genepages/col11a2dream.htm","unknown","unknown"
"COL11A2","http://webh01.ua.ac.be/hhh/","unknown","Unknown"
"COL2A1","http://hearing.harvard.edu/genepages/col2a1dream.htm","unknown","unknown"
"COL3A1","http://umd.be/COL3A1/","UMD","UMD"
"COL4A3","http://hearing.harvard.edu/genepages/col4a3dream.htm","unknown","unknown"
"COL4A4","http://hearing.harvard.edu/genepages/col4a4dream.htm","unknown","unknown"
"COL4A5","http://hearing.harvard.edu/genepages/col4a5dream.htm","unknown","unknown"
"COL6A1","http://www.dmd.nl","unknown","Unknown"
"COL6A2","http://www.dmd.nl","unknown","Unknown"
"COL6A3","http://www.dmd.nl","unknown","Unknown"
"CR1","http://www.ncbi.nlm.nih.gov/gv/mhc/xslcgi.cgi?cmd=bgmut/home","unknown","unknown"
"CRB1","http://www.retina-international.org/sci-news/crb1mut.htm","unknown","unknown"
"CRX","http://www.retina-international.org/sci-news/crxmut.htm","unknown","unknown"
"CSA","http://umd.be/CSA/","UMD","UMD"
"CSB","http://umd.be/CSB/","UMD","UMD"
"CTDP1","http://www.molgen.ua.ac.be/CMTMutations/","unknown","unknown"
"CTSC","http://bioinf.uta.fi/CTSCbase/","MUTbase","MUTbase"
"CTSD","http://www.ucl.ac.uk/ncl/catD.shtml","unknown","unknown"
"CXCR4","http://bioinf.uta.fi/CXCR4base/","MUTbase","MUTbase"
"CYBA","http://bioinf.uta.fi/CYBAbase/","MUTbase","MUTbase"
"CYBB","http://bioinf.uta.fi/CYBBbase/","MUTbase","MUTbase"
"CYP19A1","http://www.cypalleles.ki.se/","unknown","unknown"
"CYP1A1","http://www.cypalleles.ki.se/","unknown","unknown"
"CYP1A2","http://www.cypalleles.ki.se/","unknown","unknown"
"CYP1B1","http://www.cypalleles.ki.se/","unknown","unknown"
"CYP21A2","http://www.cypalleles.ki.se/","unknown","unknown"
"CYP26A1","http://www.cypalleles.ki.se/","unknown","unknown"
"CYP2A13","http://www.cypalleles.ki.se/","unknown","unknown"
"CYP2A6","http://www.cypalleles.ki.se/","unknown","unknown"
"CYP2B6","http://www.cypalleles.ki.se/","unknown","unknown"
"CYP2C19","http://www.cypalleles.ki.se/","unknown","unknown"
"CYP2C8","http://www.cypalleles.ki.se/","unknown","unknown"
"CYP2C9","http://www.cypalleles.ki.se/","unknown","unknown"
"CYP2D6","http://www.cypalleles.ki.se/","unknown","unknown"
"CYP2E1","http://www.cypalleles.ki.se/","unknown","unknown"
"CYP2F1","http://www.cypalleles.ki.se/","unknown","unknown"
"CYP2J2","http://www.cypalleles.ki.se/","unknown","unknown"
"CYP2R1","http://www.cypalleles.ki.se/","unknown","unknown"
"CYP2S1","http://www.cypalleles.ki.se/","unknown","unknown"
"CYP2W1","http://www.cypalleles.ki.se/","unknown","unknown"
"CYP3A4","http://www.cypalleles.ki.se/","unknown","unknown"
"CYP3A43","http://www.cypalleles.ki.se/","unknown","unknown"
"CYP3A5","http://www.cypalleles.ki.se/","unknown","unknown"
"CYP3A7","http://www.cypalleles.ki.se/","unknown","unknown"
